"word","count","accuracy","fscore","mat"
"United States","10000","0.962667","0.932907","[[19544, 518], [378, 3560]]"
"Oregon Ducks","385","0.984848","0.972145","[[767, 8], [6, 143]]"
"New York","10000","0.970833","0.947688","[[19632, 365], [335, 3668]]"
"U.S.","10000","0.983417","0.970686","[[19709, 248], [150, 3893]]"
"California","10000","0.956625","0.919832","[[19609, 437], [604, 3350]]"
"Texas","10000","0.939","0.887503","[[19387, 556], [908, 3149]]"
"England","10000","0.929167","0.866976","[[19355, 688], [1012, 2945]]"
"United Kingdom","2988","0.982711","0.969501","[[5884, 69], [55, 1164]]"
"Australia","10000","0.966792","0.940657","[[19565, 344], [453, 3638]]"
"London","10000","0.937833","0.884848","[[19394, 634], [858, 3114]]"
"France","10000","0.933333","0.874532","[[19415, 606], [994, 2985]]"
"India","10000","0.912625","0.836835","[[19130, 884], [1213, 2773]]"
"UK","10000","0.844792","0.675333","[[18807, 1169], [2556, 1468]]"
"UTC","10000","0.905375","0.814482","[[19264, 833], [1438, 2465]]"
"Canada","10000","0.964125","0.934201","[[19662, 366], [495, 3477]]"
"Kitt","10000","0.921","0.854819","[[19154, 875], [1021, 2950]]"
"Illinois","10000","0.953958","0.915327","[[19553, 455], [650, 3342]]"
"Mississippi","10000","0.96975","0.944672","[[19716, 320], [406, 3558]]"
"Germany","10000","0.966542","0.939047","[[19658, 359], [444, 3539]]"
"Japan","10000","0.959083","0.926512","[[19498, 468], [514, 3520]]"
"China","10000","0.95375","0.915233","[[19534, 462], [648, 3356]]"
"Washington","10000","0.940125","0.891365","[[19321, 626], [811, 3242]]"
"US","10000","0.920208","0.847412","[[19331, 709], [1206, 2754]]"
"Scotland","10000","0.949333","0.906247","[[19527, 457], [759, 3257]]"
"Paris","10000","0.937875","0.882967","[[19474, 548], [943, 3035]]"
"Neil deGrasse Tyson","10000","0.979833","0.964227","[[19684, 288], [196, 3832]]"
"Georgia","10000","0.918583","0.84631","[[19252, 756], [1198, 2794]]"
"Keynes","2768","0.977122","0.958172","[[5482, 49], [103, 1010]]"
"North Carolina","8475","0.977925","0.959658","[[16789, 209], [240, 3102]]"
"Europe","10000","0.939208","0.886477","[[19449, 637], [822, 3092]]"
"Ireland","10000","0.938083","0.882639","[[19505, 564], [922, 3009]]"
"Virginia","10000","0.929","0.868924","[[19272, 671], [1033, 3024]]"
"Pennsylvania","6946","0.970908","0.947664","[[13648, 197], [288, 2538]]"
"Brazil","10000","0.965708","0.936922","[[19695, 346], [477, 3482]]"
"Italy","10000","0.941667","0.89291","[[19397, 619], [781, 3203]]"
"Kentucky","10000","0.956042","0.919191","[[19576, 434], [621, 3369]]"
"Tim riley","6","0.866667","0.464286","[[13, 0], [2, 0]]"
"Antarctica","2399","0.985238","0.973291","[[4762, 32], [53, 911]]"
"Rajasthan Assembly","2","1","1","[[5]]"
"Michigan","10000","0.946667","0.902129","[[19455, 564], [716, 3265]]"
"Taylor Swift","2536","0.967636","0.940175","[[5007, 67], [130, 883]]"
"Missouri","10000","0.963292","0.933044","[[19625, 361], [520, 3494]]"
"Turkey","10000","0.9415","0.89578","[[19246, 693], [711, 3350]]"
"Florida","10000","0.933","0.87654","[[19311, 652], [956, 3081]]"
"Wales","10000","0.95475","0.916147","[[19599, 399], [687, 3315]]"
"America","10000","0.897333","0.803732","[[19055, 916], [1548, 2481]]"
"South Carolina","5098","0.980141","0.963871","[[10102, 116], [127, 1891]]"
"Czech Republic","1283","0.996429","0.993471","[[2571, 2], [9, 498]]"
"Mona","10000","0.9285","0.86503","[[19371, 650], [1066, 2913]]"
"Yuber","170","0.953431","0.909056","[[337, 7], [12, 52]]"
"Himeji Castle","4","0.9","0.473684","[[9, 0], [1, 0]]"
"Benjamin","10000","0.973792","0.951831","[[19788, 263], [366, 3583]]"
"Doc","10000","0.95025","0.907924","[[19539, 447], [747, 3267]]"
"Jannes","48","0.931035","0.855","[[96, 1], [7, 12]]"
"Cape Cod","1627","0.987196","0.976034","[[3260, 21], [29, 595]]"
"Delft","461","0.98103","0.965705","[[913, 12], [9, 173]]"
"Leningrad","90","0.958333","0.920507","[[178, 1], [8, 29]]"
"Van Herp","46","1","1","[[97, 0], [0, 14]]"
