"word","count","accuracy","fscore","mat"
"Voice of Bugle Ann","0","0.944208","0.896732","[[19467, 499], [840, 3194]]"
"Zanzibar","428","0.951362","0.90243","[[853, 13], [37, 125]]"
"Bud Powell","17","0.878049","0.687976","[[34, 0], [5, 2]]"
"Sorrells","384","0.937093","0.879988","[[750, 17], [41, 114]]"
"Frau","10000","0.944708","0.895412","[[19575, 498], [829, 3098]]"
"Sequoia","855","0.946881","0.894341","[[1695, 39], [70, 248]]"
"Ancestry.com","519","0.975923","0.953424","[[1041, 11], [19, 175]]"
"Curacao","343","0.938107","0.874333","[[680, 22], [29, 93]]"
"Kasem","996","0.952321","0.910828","[[1954, 48], [66, 323]]"
"Free State","297","0.906031","0.779623","[[593, 19], [48, 53]]"
"Accomack","3","0.75","0.428571","[[6, 0], [2, 0]]"
"Zhu Xi","3","1","1","[[8]]"
"David Sainsbury","0.65","0.65","0","[]"
"Maryland Democrats","8","0.85","0.459459","[[17, 0], [3, 0]]"
"Coroner","938","0.959591","0.926505","[[1836, 25], [66, 325]]"
"Stark County","26","0.793651","0.442478","[[50, 0], [13, 0]]"
"Czech Republic","1283","0.965909","0.935922","[[2541, 37], [68, 434]]"
"Mona","10000","0.877125","0.742058","[[19209, 805], [2144, 1842]]"
"Yuber","170","0.914216","0.822862","[[333, 9], [26, 40]]"
"Himeji Castle","4","1","1","[[10]]"
"Benjamin","10000","0.940625","0.889869","[[19434, 517], [908, 3141]]"
"Doc","10000","0.912292","0.82898","[[19323, 676], [1429, 2572]]"
"Jannes","48","0.862069","0.736961","[[90, 5], [11, 10]]"
"Cape Cod","1627","0.948784","0.90585","[[3171, 66], [134, 534]]"
"Delft","461","0.947606","0.895683","[[915, 19], [39, 134]]"
"Leningrad","90","0.935185","0.851852","[[182, 5], [9, 20]]"
"Van Herp","46","0.954955","0.927894","[[87, 1], [4, 19]]"
"Yadav","1609","0.957535","0.923212","[[3140, 66], [98, 558]]"
"Tim Dog","42","0.930693","0.796664","[[88, 0], [7, 6]]"
"Thiruvananthapuram","230","0.985507","0.973684","[[457, 3], [5, 87]]"
"Scarpetta","148","0.88764","0.754872","[[289, 6], [34, 27]]"
"Kirsten","6967","0.950721","0.908546","[[13626, 322], [502, 2271]]"
"University of Adelaide","15","0.916667","0.762637","[[31, 0], [3, 2]]"
"Meryl Streep","2174","0.985818","0.974644","[[4304, 24], [50, 840]]"
"Boettger","10","0.875","0.466667","[[21, 0], [3, 0]]"
"Heath","10000","0.919792","0.846344","[[19334, 664], [1261, 2741]]"
"Hayes","10000","0.93525","0.878944","[[19407, 579], [975, 3039]]"
"Avery County","70","0.994048","0.986666","[[146, 0], [1, 21]]"
"Christie Golden","26","0.888889","0.825347","[[47, 0], [7, 9]]"
"Todon","1813","0.933364","0.881316","[[3472, 114], [176, 590]]"
"Royal Marines","78","0.914894","0.81546","[[155, 1], [15, 17]]"
"Koreans","1697","0.972011","0.948405","[[3357, 34], [80, 602]]"
"Fort Greene","400","0.93125","0.875627","[[768, 20], [46, 126]]"
"Sofala","95","0.973684","0.945472","[[193, 1], [5, 29]]"
"James Wilde","13","0.8125","0.448276","[[26, 0], [6, 0]]"
"Delray Beach","206","0.943434","0.887522","[[408, 4], [24, 59]]"
