,NE,Count,Type
0,Wikipedia,3610,ORGANIZATION
1,United States,1440,LOCATION
2,Oregon Ducks,690,ORGANIZATION
3,New York,577,LOCATION
4,U.S.,577,LOCATION
5,California,575,LOCATION
6,Texas,473,LOCATION
7,England,470,LOCATION
8,United Kingdom,458,LOCATION
9,Australia,446,LOCATION
10,London,438,LOCATION
11,France,430,LOCATION
12,India,391,LOCATION
13,UK,387,LOCATION
14,UTC,372,O
15,Canada,370,LOCATION
16,Kitt,357,PERSON
17,Illinois,319,LOCATION
18,Mississippi,304,LOCATION
19,Germany,299,LOCATION
20,Japan,296,LOCATION
21,China,289,LOCATION
22,Washington,284,LOCATION
23,US,283,LOCATION
24,Louisiana,278,LOCATION
25,Scotland,265,LOCATION
26,Paris,258,LOCATION
27,New Zealand,257,LOCATION
28,Georgia,253,LOCATION
29,Ukraine,244,LOCATION
30,Keynes,240,PERSON
31,Russia,234,LOCATION
32,North Carolina,230,LOCATION
33,Europe,229,LOCATION
34,Ireland,228,LOCATION
35,Virginia,228,LOCATION
36,Pennsylvania,225,LOCATION
37,Brazil,223,LOCATION
38,Italy,219,LOCATION
39,Kentucky,208,LOCATION
40,Tim riley,205,PERSON
41,Antarctica,203,LOCATION
42,Rajasthan Assembly,199,LOCATION
43,Michigan,198,LOCATION
44,Taylor Swift,191,PERSON
45,Missouri,191,LOCATION
46,Turkey,186,LOCATION
47,Florida,183,LOCATION
48,Wales,181,LOCATION
49,America,180,LOCATION
50,South Carolina,179,LOCATION
51,Spain,179,LOCATION
52,Alabama,178,LOCATION
53,Chicago,175,LOCATION
54,Miller,174,PERSON
55,New York City,170,LOCATION
56,Greece,170,LOCATION
57,New Jersey,166,LOCATION
58,Colorado,163,LOCATION
59,Google,163,ORGANIZATION
60,Ohio,163,LOCATION
61,Sydney,156,LOCATION
62,Fox,156,PERSON
63,Thompson,154,PERSON
64,Los Angeles,152,LOCATION
65,Stephen Curry,148,PERSON
66,Indiana,146,LOCATION
67,Singapore,143,LOCATION
68,Massachusetts,143,LOCATION
69,Queensland,143,LOCATION
70,Delaware,141,LOCATION
71,Wisconsin,141,LOCATION
72,Melbourne,140,LOCATION
73,Minnesota,140,LOCATION
74,Israel,138,LOCATION
75,Mexico,137,LOCATION
76,John,136,PERSON
77,Briskin,136,PERSON
78,Poland,134,LOCATION
79,Netherlands,134,LOCATION
80,NFL,131,ORGANIZATION
81,Tennessee,130,LOCATION
82,Grange,128,PERSON
83,Zhou,127,PERSON
84,Oregon,124,LOCATION
85,Ontario,122,LOCATION
86,Baker,121,PERSON
87,Sweden,120,LOCATION
88,Serbia,119,LOCATION
89,BBC,119,ORGANIZATION
90,Oxford,117,LOCATION
91,Hong Kong,116,LOCATION
92,Iran,115,LOCATION
93,West Virginia,115,LOCATION
94,Maryland,114,LOCATION
95,San Francisco,110,LOCATION
96,Philadelphia,109,LOCATION
97,Pakistan,108,LOCATION
98,Finland,106,LOCATION
99,Switzerland,105,LOCATION
100,Soviet Union,104,LOCATION
101,Iowa,102,LOCATION
102,Thomas,102,PERSON
103,Denmark,102,LOCATION
104,ABC,101,O
105,Mary,100,PERSON
106,Meridian,100,ORGANIZATION
107,CBS,99,ORGANIZATION
108,New South Wales,98,LOCATION
109,Montreal,98,LOCATION
110,Senate,98,ORGANIZATION
111,Arizona,97,LOCATION
112,Victoria,97,PERSON
113,New Mexico,96,LOCATION
114,Boston,95,LOCATION
115,NCAA,95,ORGANIZATION
116,Arkansas,95,LOCATION
117,South Africa,95,LOCATION
118,USA,94,LOCATION
119,Tottenham,94,PERSON
120,J.D,93,PERSON
121,Bharatiya Janata Party,93,ORGANIZATION
122,Congress,93,ORGANIZATION
123,NBC,93,ORGANIZATION
124,Cambridge,92,LOCATION
125,Bush,91,PERSON
126,Indonesia,90,LOCATION
127,Austria,90,LOCATION
128,FIS,89,O
129,Liverpool,88,ORGANIZATION
130,Hungary,88,LOCATION
131,Portugal,87,LOCATION
132,Connecticut,86,LOCATION
133,Oklahoma,86,LOCATION
134,Norway,86,LOCATION
135,Zico,86,PERSON
136,Malaysia,86,LOCATION
137,David,86,PERSON
138,Rome,86,LOCATION
139,Bangladesh,85,LOCATION
140,Chile,85,LOCATION
141,Smith,83,PERSON
142,Africa,83,LOCATION
143,Britain,83,LOCATION
144,British Columbia,83,LOCATION
145,Belgium,83,LOCATION
146,Berlin,82,LOCATION
147,Philippines,82,LOCATION
148,St. Louis,81,LOCATION
149,Oregon State,80,LOCATION
150,Western Australia,80,LOCATION
151,Asia,79,LOCATION
152,New York Times,79,ORGANIZATION
153,Mount Lemmon || Mount Lemmon,79,LOCATION
154,Bavaria,78,LOCATION
155,Argentina,78,LOCATION
156,Alaska,78,LOCATION
157,Labour Party,78,ORGANIZATION
158,Rangers,77,O
159,Iraq,76,LOCATION
160,Anderson,75,PERSON
161,Sri Lanka,74,LOCATION
162,North America,74,LOCATION
163,Utah,73,LOCATION
164,Dublin,71,LOCATION
165,Jesus,71,PERSON
166,Vermont,71,LOCATION
167,Idaho,71,LOCATION
168,Johnson,71,PERSON
169,Taiwan,69,LOCATION
170,Columbia,69,LOCATION
171,Tokyo,69,LOCATION
172,Romania,68,LOCATION
173,Grant,67,PERSON
174,Toronto,67,LOCATION
175,Bowe,67,PERSON
176,South Korea,67,LOCATION
177,Croatia,67,LOCATION
178,Cambodia,66,LOCATION
179,Leilua,66,PERSON
180,Warren,65,PERSON
181,Puerto Rico,65,LOCATION
182,New Hampshire,64,LOCATION
183,Hamburg,64,LOCATION
184,Great Britain,63,LOCATION
185,Alexander,63,PERSON
186,Nigeria,63,LOCATION
187,Paul,62,PERSON
188,Quebec,62,O
189,Egypt,62,LOCATION
190,Moscow,62,LOCATION
191,Dimnah,62,PERSON
192,Dallas,61,LOCATION
193,Yue,61,PERSON
194,South Dakota,61,LOCATION
195,Dick Johnson,60,PERSON
196,James,60,PERSON
197,Portland,60,LOCATION
198,Venice,59,LOCATION
199,Ecuador,59,LOCATION
200,Clark,59,PERSON
201,Peru,59,LOCATION
202,Ganga,59,PERSON
203,Holland,58,PERSON
204,San Sebastian,58,LOCATION
205,Tony,58,PERSON
206,Kansas,58,LOCATION
207,Detroit,57,LOCATION
208,Vancouver,57,LOCATION
209,D.C.,57,LOCATION
210,Supreme Court,57,ORGANIZATION
211,George,56,PERSON
212,Bohol,56,LOCATION
213,Jones,56,PERSON
214,Korea,56,LOCATION
215,Duke,56,PERSON
216,Nanshu,55,PERSON
217,Cruz,55,PERSON
218,Jacobson,55,PERSON
219,Gaynor,54,PERSON
220,Kerala,54,LOCATION
221,Wilson,54,PERSON
222,Davis,54,PERSON
223,CA,54,O
224,U.S,54,LOCATION
225,Margate,53,LOCATION
226,Vogel,53,PERSON
227,Gould,53,PERSON
228,Microsoft,53,ORGANIZATION
229,Claiborne,53,PERSON
230,Atlantic,53,LOCATION
